Park Name,Category,Scientific Name,Common Names,Observations,T&E
Bryce Canyon National Park,Bird,Cyanocitta stelleri,Steller'S Jay,,
Bryce Canyon National Park,Bird,Gymnorhinus cyanocephalus,Pinyon Jay,,SC
Bryce Canyon National Park,Bird,Nucifraga columbiana,Clark'S Nutcracker,,SC
Bryce Canyon National Park,Bird,Perisoreus canadensis,Gray Jay,,
Bryce Canyon National Park,Bird,Pica hudsonia,Black-Billed Magpie,,SC
Bryce Canyon National Park,Bird,Amphispiza bilineata,Black-Throated Sparrow,,SC
Bryce Canyon National Park,Bird,Artemisiospiza nevadensis,Sagebrush Sparrow,,SC
Bryce Canyon National Park,Bird,Chondestes grammacus,Lark Sparrow,,SC
Bryce Canyon National Park,Bird,Junco hyemalis caniceps,Dark-Eyed Junco (Gray-Headed),,
Bryce Canyon National Park,Bird,Junco hyemalis hyemalis,Dark-Eyed Junco (Slate-Colored),,
Bryce Canyon National Park,Bird,Junco hyemalis oreganus,Dark-Eyed Junco (Oregon),,
Bryce Canyon National Park,Bird,Melospiza lincolnii,Lincoln'S Sparrow,,SC
Bryce Canyon National Park,Bird,Melospiza melodia,Song Sparrow,,SC
Bryce Canyon National Park,Bird,Passerculus sandwichensis,Savannah Sparrow,,
Bryce Canyon National Park,Bird,Pipilo chlorurus,Green-Tailed Towhee,,SC
Bryce Canyon National Park,Bird,Pipilo maculatus,Spotted Towhee,,SC
Bryce Canyon National Park,Bird,Pooecetes gramineus,Vesper Sparrow,,
Bryce Canyon National Park,Bird,Spizella arborea,American Tree Sparrow,,
Bryce Canyon National Park,Bird,Spizella atrogularis,Black-Chinned Sparrow,1,SC
Bryce Canyon National Park,Bird,Spizella breweri,Brewer'S Sparrow,,SC
Bryce Canyon National Park,Bird,Spizella passerina,Chipping Sparrow,,SC
Bryce Canyon National Park,Bird,Zonotrichia leucophrys,White-Crowned Sparrow,,
Bryce Canyon National Park,Bird,Carduelis pinus,Pine Siskin,,SC
Bryce Canyon National Park,Bird,Carduelis psaltria,Lesser Goldfinch,,
Bryce Canyon National Park,Bird,Carduelis tristis,American Goldfinch,,
Bryce Canyon National Park,Bird,Carpodacus cassinii,Cassin'S Finch,,SC
Bryce Canyon National Park,Bird,Carpodacus mexicanus,House Finch,,
Bryce Canyon National Park,Bird,Coccothraustes vespertinus,Evening Grosbeak,,SC
Bryce Canyon National Park,Bird,Leucosticte atrata,Black Rosy-Finch,,SC
Bryce Canyon National Park,Bird,Leucosticte tephrocotis,Gray-Crowned Rosy-Finch,,
Bryce Canyon National Park,Bird,Loxia curvirostra,Red Crossbill,,SC
Bryce Canyon National Park,Bird,Pinicola enucleator,Pine Grosbeak,,
Bryce Canyon National Park,Bird,Hirundo rustica,Barn Swallow,,SC
Bryce Canyon National Park,Bird,Petrochelidon pyrrhonota,Cliff Swallow,,
Bryce Canyon National Park,Bird,Tachycineta bicolor,Tree Swallow,,SC
Bryce Canyon National Park,Bird,Tachycineta thalassina,Violet-Green Swallow,,
Bryce Canyon National Park,Bird,Agelaius phoeniceus,Red-Winged Blackbird,,
Bryce Canyon National Park,Bird,Euphagus cyanocephalus,Brewer'S Blackbird,,
Bryce Canyon National Park,Bird,Icterus bullockii,Bullock'S Oriole,,SC
Bryce Canyon National Park,Bird,Icterus cucullatus,Hooded Oriole,,SC
Bryce Canyon National Park,Bird,Icterus parisorum,Scott'S Oriole,,
Bryce Canyon National Park,Bird,Molothrus ater,Brown-Headed Cowbird,,
Bryce Canyon National Park,Bird,Sturnella neglecta,Western Meadowlark,,SC
Bryce Canyon National Park,Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,,
Bryce Canyon National Park,Bird,Lanius excubitor,Northern Shrike,,
Bryce Canyon National Park,Bird,Lanius ludovicianus,Loggerhead Shrike,,SC
Bryce Canyon National Park,Bird,Dumetella carolinensis,Gray Catbird,,
Bryce Canyon National Park,Bird,Mimus polyglottos,Northern Mockingbird,,
Bryce Canyon National Park,Bird,Oreoscoptes montanus,Sage Thrasher,,SC
Bryce Canyon National Park,Bird,Anthus rubescens,American Pipit,,
Bryce Canyon National Park,Bird,Baeolophus ridgwayi,Juniper Titmouse,,SC
Bryce Canyon National Park,Bird,Poecile atricapillus,Black-Capped Chickadee,,SC
Bryce Canyon National Park,Bird,Poecile gambeli,Mountain Chickadee,,SC
Bryce Canyon National Park,Bird,Dendroica coronata,Yellow-Rumped Warbler,,
Bryce Canyon National Park,Bird,Dendroica graciae,Grace'S Warbler,,SC
Bryce Canyon National Park,Bird,Dendroica nigrescens,Black-Throated Gray Warbler,,SC
Bryce Canyon National Park,Bird,Dendroica petechia,Yellow Warbler,,
Bryce Canyon National Park,Bird,Dendroica townsendi,Townsend'S Warbler,,
Bryce Canyon National Park,Bird,Geothlypis trichas,Common Yellowthroat,,
Bryce Canyon National Park,Bird,Icteria virens,Yellow-Breasted Chat,,SC
Bryce Canyon National Park,Bird,Oporornis tolmiei,Macgillivray'S Warbler,,SC
Bryce Canyon National Park,Bird,Setophaga ruticilla,American Redstart,,
